order_id,date,region,sales_rep,customer_id,customer_segment,product_category,channel,units,list_price_eur,discount_pct,revenue_eur,cost_eur,promised_lead_days,actual_lead_days,on_time,in_full,returned
O000008,2024-01-01,DACH-North,Weber,C0342,SMB,ppe,field-sales,77,3.0933,0.13,207.22,141.12,3,3,1,1,0
O000020,2024-01-01,DACH-South,Fischer,C0066,SMB,abrasives,branch,23,1.1438,0.045,25.12,14.51,1,1,1,1,0
O000043,2024-01-01,West,Dubois,C0393,Enterprise,power tools,phone,286,126.2871,0.178,29689.09,24743.08,3,3,1,1,0
O000072,2024-01-01,West,Dubois,C0382,SMB,chemicals,field-sales,47,6.1051,0.113,254.52,152.65,3,3,1,1,0
O000097,2024-01-01,DACH-South,Mayer,C0115,SMB,ppe,phone,77,3.3911,0.016,256.94,167.79,3,3,1,1,0
O000099,2024-01-01,Nordics,Lindqvist,C0175,SMB,fasteners,phone,45,1.0066,0.119,39.91,25.82,3,3,1,1,0
O000116,2024-01-01,DACH-South,Fischer,C0154,Trade,hand tools,e-shop,23,27.1594,0.012,617.17,393.05,2,6,0,1,0
O000135,2024-01-01,DACH-South,Fischer,C0006,SMB,fasteners,phone,27,0.9548,0.127,22.51,15.65,3,3,1,1,1
O000217,2024-01-01,Nordics,Lindqvist,C0338,Trade,power tools,e-shop,39,130.6283,0.04,4890.72,3499.73,2,2,1,1,0
O000224,2024-01-01,DACH-North,Klein,C0215,Trade,ppe,phone,33,3.6818,0.037,117.0,78.78,3,3,1,1,0
O000232,2024-01-01,DACH-South,Mayer,C0202,SMB,fasteners,field-sales,23,1.0055,0.081,21.25,13.55,3,3,1,1,0
O000262,2024-01-01,DACH-North,Klein,C0189,Trade,chemicals,e-shop,30,6.2679,0.016,185.03,97.47,2,2,1,1,0
O000382,2024-01-01,West,Dubois,C0020,SMB,hand tools,e-shop,33,24.7732,0.136,706.33,547.67,2,2,1,1,0
O000397,2024-01-01,DACH-South,Huber,C0154,Trade,chemicals,field-sales,33,6.2171,0.108,183.01,109.51,3,3,1,1,0
O000406,2024-01-01,Nordics,Lindqvist,C0105,SMB,fasteners,field-sales,58,0.9672,0.0,56.1,32.25,3,3,1,1,0
O000419,2024-01-01,DACH-South,Huber,C0341,SMB,power tools,branch,73,128.5543,0.112,8333.4,6731.33,1,5,0,1,0
O000481,2024-01-01,DACH-South,Mayer,C0154,Trade,ppe,e-shop,33,3.6083,0.053,112.76,74.71,2,5,0,1,0
O000068,2024-01-02,DACH-South,Huber,C0029,Trade,abrasives,phone,37,0.9938,0.0,36.77,19.79,3,3,1,0,0
O000088,2024-01-02,DACH-South,Huber,C0341,SMB,ppe,field-sales,105,3.6269,0.092,345.79,231.35,3,3,1,1,0
O000144,2024-01-02,DACH-South,Fischer,C0353,SMB,fasteners,e-shop,59,1.0103,0.139,51.32,33.2,2,4,0,1,1
O000178,2024-01-02,DACH-North,Weber,C0277,SMB,hand tools,field-sales,51,22.3135,0.069,1059.47,718.49,3,3,1,1,0
O000243,2024-01-02,DACH-South,Fischer,C0341,SMB,ppe,field-sales,96,3.1935,0.0,306.58,188.97,3,3,1,1,0
O000247,2024-01-02,DACH-North,Braun,C0151,Enterprise,fasteners,phone,3,1.0305,0.078,2.85,1.86,3,3,1,1,0
O000276,2024-01-02,East,Kovac,C0386,Trade,abrasives,e-shop,22,1.1183,0.125,21.53,14.13,2,2,1,1,0
O000279,2024-01-02,Nordics,Lindqvist,C0134,Enterprise,fasteners,e-shop,326,0.9087,0.17,245.88,170.9,2,2,1,1,0
O000291,2024-01-02,Nordics,Berg,C0105,SMB,power tools,branch,70,148.0311,0.1,9325.96,7182.08,1,1,1,1,0
O000310,2024-01-02,DACH-South,Huber,C0066,SMB,ppe,field-sales,83,3.4546,0.126,250.6,170.35,3,3,1,1,0
