date_key,month,region,product_category,channel,orders,units,revenue_eur,cost_eur,margin_eur,list_value_eur,on_time_orders,in_full_orders,otif_orders,returned_orders
20240101,2024-01,DACH-North,abrasives,branch,1,84,88.78,56.58,32.2,99.2,1,1,1,0
20240101,2024-01,DACH-North,abrasives,e-shop,7,729,716.66,477.77,238.89,840.17,6,7,6,0
20240101,2024-01,DACH-North,abrasives,field-sales,2,112,133.07,78.94,54.13,136.48,2,2,2,0
20240101,2024-01,DACH-North,abrasives,phone,1,40,37.56,21.45,16.11,40.12,1,1,1,0
20240101,2024-01,DACH-North,chemicals,branch,2,406,2287.35,1508.92,778.43,2751.47,1,2,1,0
20240101,2024-01,DACH-North,chemicals,e-shop,6,188,1168.39,649.79,518.6,1210.4,5,6,5,0
20240101,2024-01,DACH-North,chemicals,field-sales,7,694,4389.79,2658.87,1730.92,4814.57,7,7,7,1
20240101,2024-01,DACH-North,chemicals,phone,4,266,1642.06,987.53,654.53,1796.01,4,4,4,0
20240101,2024-01,DACH-North,fasteners,branch,4,198,158.41,101.13,57.28,173.83,4,4,4,0
20240101,2024-01,DACH-North,fasteners,e-shop,6,382,312.76,204.94,107.82,351.36,5,6,5,0
20240101,2024-01,DACH-North,fasteners,field-sales,9,483,401.58,251.3,150.28,434.86,8,7,6,0
20240101,2024-01,DACH-North,fasteners,phone,5,185,150.85,95.18,55.67,161.88,5,5,5,0
20240101,2024-01,DACH-North,hand tools,branch,1,24,567.68,402.41,165.27,590.1,1,1,1,0
20240101,2024-01,DACH-North,hand tools,e-shop,2,73,1810.98,1208.28,602.7,1912.23,2,2,2,0
20240101,2024-01,DACH-North,hand tools,field-sales,4,225,4866.53,3407.33,1459.2,5229.2,4,4,4,0
20240101,2024-01,DACH-North,power tools,branch,4,106,14608.15,10819.84,3788.31,15139.05,4,4,4,0
20240101,2024-01,DACH-North,power tools,e-shop,4,208,28138.42,20840.79,7297.63,28936.81,3,4,3,0
