metric,value
revenue_eur,21835093.84
gross_margin_eur,4800416.9
gross_margin_pct,21.98
orders,15217
units,1168048
aov_eur,1434.91
discount_leakage_pct,10.69
otif_pct,84.99
on_time_pct,88.57
fill_rate_pct,95.95
returns_rate_pct,3.44
active_customers,395
yoy_pct,6.84
mom_pct,-0.99
bridge_price_effect_eur,13572.56
bridge_volume_effect_eur,178051.58
bridge_mix_effect_eur,-0.0
bridge_total_change_eur,191624.14
top20_customer_share_pct,55.76
total_cogs_eur,17034676.94
discount_leakage_eur,2614902.63
returns_cost_total_eur,585472.57
forecast_cv_mase,1.578
seasonal_naive_cv_mase,1.578
forecast_revenue_m1,585564.39
forecast_revenue_m2,682395.98
forecast_revenue_m3,987494.86
